place_id,name,is_spending_on_ads,reviews,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,main_category,categories,rating,address,link
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,FALSE,2265,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Seafood restaurant,Seafood restaurant,4.3,"Restoran Api Api Ikan Bakar, Jalan Dato Ali, Bukit Tok Po, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Restoran+Api+Api+Ikan+Bakar/data=!4m7!3m6!1s0x304c9b96b160358d:0xe68f219f243ee5eb!8m2!3d6.4084674!4d100.1413646!16s%2Fg%2F11bwsmmqpd!19sChIJjTVgsZabTDAR6-U-JJ8hj-Y?authuser=0&hl=en&rclk=1
ChIJ556mrCaaTDARkPwRivlgYsQ,Warung Tepi Sawah 2769,FALSE,1672,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Restaurant,Restaurant,4.2,"Warung Tepi Sawah 2769, Kg Bohor Janggus, 01000 Kangar, Perlis",https://www.google.com/maps/place/Warung+Tepi+Sawah+2769/data=!4m7!3m6!1s0x304c9a26aca69ee7:0xc46260f98a11fc90!8m2!3d6.4496424!4d100.1650457!16s%2Fg%2F11f3263sby!19sChIJ556mrCaaTDARkPwRivlgYsQ?authuser=0&hl=en&rclk=1
ChIJ95T_kIObTDARPPyonBPvE9w,Hai Thien Seafood Restaurant Hai Tian Hai Xian ,FALSE,1506,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Seafood restaurant,Seafood restaurant,4.3,"Hai Thien Seafood Restaurant Hai Tian Hai Xian , Jalab Jeti Baru, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Hai+Thien+Seafood+Restaurant+%E6%B5%B7%E5%A4%A9%E6%B5%B7%E9%B2%9C/data=!4m7!3m6!1s0x304c9b8390ff94f7:0xdc13ef139ca8fc3c!8m2!3d6.3943201!4d100.1293651!16s%2Fg%2F1232ncjyp!19sChIJ95T_kIObTDARPPyonBPvE9w?authuser=0&hl=en&rclk=1
ChIJA6Tg97CZTDARrLf_05XOSZQ,Chortiez & Co,FALSE,1284,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Restaurant,"Restaurant, Beverage distributor, Cafe, Live music venue, Steak house",4.4,"Chortiez & Co, 5, Jalan Sena Indah, Taman Sena Indah, 01000 Kangar, Perlis",https://www.google.com/maps/place/Chortiez+%26+Co/data=!4m7!3m6!1s0x304c99b0f7e0a403:0x9449ce95d3ffb7ac!8m2!3d6.4464095!4d100.2057556!16s%2Fg%2F11c5bl94gh!19sChIJA6Tg97CZTDARrLf_05XOSZQ?authuser=0&hl=en&rclk=1
ChIJkfHPor-ZTDARFkESFovQjUc,Restoran Suri Masakan Melayu Asli,FALSE,1037,TRUE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Malay Restaurant,Malay Restaurant,4.5,"Restoran Suri Masakan Melayu Asli, Jalan Kampung Pondok, Kampung Pondok, 01000 Kangar, Perlis",https://www.google.com/maps/place/Restoran+Suri+Masakan+Melayu+Asli/data=!4m7!3m6!1s0x304c99bfa2cff191:0x478dd08b16124116!8m2!3d6.4526997!4d100.1946724!16s%2Fg%2F11b72btj2w!19sChIJkfHPor-ZTDARFkESFovQjUc?authuser=0&hl=en&rclk=1
ChIJ_TVumKiZTDARkz-KKzf0T2E,Tff Cafe,FALSE,937,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Cafe,Cafe,4.5,"Tff Cafe, Jalan Dahlia, Taman Ira, 01000 Kangar, Perlis",https://www.google.com/maps/place/Tff+Cafe/data=!4m7!3m6!1s0x304c99a8986e35fd:0x614ff4372b8a3f93!8m2!3d6.4367587!4d100.2046924!16s%2Fg%2F11c6zpmpq8!19sChIJ_TVumKiZTDARkz-KKzf0T2E?authuser=0&hl=en&rclk=1
ChIJVXZuWISZTDARgxzPRkmkMt0,Capati Labu Sayong & Nasi Gulai Panas,FALSE,737,TRUE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Restaurant,Restaurant,4.2,"Capati Labu Sayong & Nasi Gulai Panas, 26, Jalan Raja Syed Saffi, Kampung Bintong, 01000 Kangar, Perlis",https://www.google.com/maps/place/Capati+Labu+Sayong+%26+Nasi+Gulai+Panas/data=!4m7!3m6!1s0x304c9984586e7655:0xdd32a44946cf1c83!8m2!3d6.4408876!4d100.1789004!16s%2Fg%2F11bxfydl95!19sChIJVXZuWISZTDARgxzPRkmkMt0?authuser=0&hl=en&rclk=1
ChIJ9y8Ruf-YTDARnp8C3tBr1so,Dunia Yong Tau Foo Jalanan,FALSE,729,TRUE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Restaurant,Restaurant,4,"Dunia Yong Tau Foo Jalanan, Kampung Padang Behor, 01000 Kangar, Perlis",https://www.google.com/maps/place/Dunia+Yong+Tau+Foo+Jalanan/data=!4m7!3m6!1s0x304c98ffb9112ff7:0xcad66bd0de029f9e!8m2!3d6.4310834!4d100.216775!16s%2Fg%2F11b6jb36lv!19sChIJ9y8Ruf-YTDARnp8C3tBr1so?authuser=0&hl=en&rclk=1
ChIJo_mrMKCZTDARUnQ0fp90i5M,Pizza Hut Restaurant Kangar,FALSE,618,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Pizza restaurant,"Pizza restaurant, Fast food restaurant",4,"First Floor, Pizza Hut Restaurant Kangar, No. 26 & 28, Kanger, Jalan Bukit Lagi, 01000 Kangar, Perlis",https://www.google.com/maps/place/Pizza+Hut+Restaurant+Kangar/data=!4m7!3m6!1s0x304c99a030abf9a3:0x938b749f7e347452!8m2!3d6.435332!4d100.193754!16s%2Fg%2F1hc4wpvq8!19sChIJo_mrMKCZTDARUnQ0fp90i5M?authuser=0&hl=en&rclk=1
ChIJ9_mHRgCYTDARZHbGp16eHPA,Pokok Sawa,FALSE,561,FALSE,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Asian restaurant,"Asian restaurant, Malay Restaurant, Southeast Asian restaurant",4.2,"Pokok Sawa, Kampung Kersik, Kampung Mata Ayer, 02500 Kangar, Perlis",https://www.google.com/maps/place/Pokok+Sawa/data=!4m7!3m6!1s0x304c98004687f9f7:0xf01c9e5ea7c67664!8m2!3d6.4724562!4d100.2580339!16s%2Fg%2F1v0bw1fk!19sChIJ9_mHRgCYTDARZHbGp16eHPA?authuser=0&hl=en&rclk=1
